case_id,date_decision,MONTH,WEEK_NUM,target
0,2019-01-03,201901,0,0
1,2019-01-03,201901,0,0
2,2019-01-04,201901,0,0
3,2019-01-03,201901,0,0
4,2019-01-04,201901,0,1
5,2019-01-02,201901,0,0
6,2019-01-03,201901,0,0
7,2019-01-03,201901,0,0
8,2019-01-03,201901,0,0
9,2019-01-03,201901,0,0
10,2019-01-03,201901,0,0
11,2019-01-03,201901,0,0
12,2019-01-03,201901,0,0
13,2019-01-03,201901,0,0
14,2019-01-03,201901,0,0
15,2019-01-03,201901,0,0
16,2019-01-03,201901,0,0
17,2019-01-03,201901,0,0
18,2019-01-03,201901,0,0
19,2019-01-03,201901,0,0
20,2019-01-03,201901,0,0
21,2019-01-03,201901,0,0
22,2019-01-03,201901,0,0
23,2019-01-03,201901,0,0
24,2019-01-03,201901,0,0
25,2019-01-03,201901,0,0
26,2019-01-03,201901,0,0
27,2019-01-03,201901,0,0
28,2019-01-03,201901,0,0
29,2019-01-03,201901,0,0
30,2019-01-03,201901,0,0
31,2019-01-03,201901,0,0
32,2019-01-03,201901,0,0
33,2019-01-03,201901,0,0
34,2019-01-03,201901,0,0
35,2019-01-03,201901,0,0
36,2019-01-03,201901,0,0
37,2019-01-03,201901,0,0
38,2019-01-03,201901,0,0
39,2019-01-03,201901,0,0
40,2019-01-03,201901,0,0
41,2019-01-03,201901,0,0
42,2019-01-03,201901,0,0
43,2019-01-03,201901,0,0
44,2019-01-03,201901,0,0
45,2019-01-03,201901,0,0
46,2019-01-03,201901,0,0
47,2019-01-03,201901,0,0
48,2019-01-03,201901,0,0
49,2019-01-03,201901,0,0
50,2019-01-03,201901,0,0
51,2019-01-03,201901,0,0
52,2019-01-03,201901,0,0
53,2019-01-03,201901,0,0
54,2019-01-03,201901,0,0
55,2019-01-03,201901,0,0
56,2019-01-04,201901,0,0
57,2019-01-03,201901,0,0
58,2019-01-03,201901,0,0
59,2019-01-03,201901,0,0
60,2019-01-03,201901,0,0
61,2019-01-03,201901,0,0
62,2019-01-03,201901,0,0
63,2019-01-03,201901,0,0
64,2019-01-03,201901,0,0
65,2019-01-03,201901,0,0
66,2019-01-03,201901,0,0
67,2019-01-03,201901,0,0
68,2019-01-03,201901,0,0
69,2019-01-03,201901,0,0
70,2019-01-03,201901,0,0
71,2019-01-03,201901,0,0
72,2019-01-03,201901,0,0
73,2019-01-03,201901,0,0
74,2019-01-03,201901,0,0
75,2019-01-03,201901,0,0
76,2019-01-03,201901,0,0
77,2019-01-03,201901,0,0
78,2019-01-03,201901,0,0
79,2019-01-03,201901,0,0
80,2019-01-03,201901,0,0
81,2019-01-03,201901,0,0
82,2019-01-03,201901,0,0
83,2019-01-03,201901,0,0
